Oh Junho,오준호,-,Korean,-,#104,-,,104
Zhang Yuxi,-,-,-,-,#105,-,,105
-,-,-,-,-,#106,-,,106
Kim Donghyun,김동현,-,-,2003,#107,-,,107
Jack,-,-,-,-,#108,-,,108
Ngan Chau Yuet,-,-,-,2002,#109,-,,109
Wang Dongyi,-,-,-,-,#110,-,,110
Kim Wonbin,김원빈,-,Korean,-,#111,-,,111
Ma Tao,-,-,-,-,#112,-,,112
-,-,-,-,-,#113,-,,113
Aoki Renshou,-,-,Japanese,-,#114,-,,114
Sang Lin,-,-,-,-,#115,-,,115
Weng Sangjin,-,-,-,-,#116,-,,116
Zhou Yanhe,-,-,-,-,#117,-,,117
Bang Soohwan,-,-,-,2004,#118,-,,118
Sen,-,-,-,-,#119,-,,119
Yoo Giwon,유기원,-,Korean,2006,#120,-,,120
Hong Zihao,-,-,Chinese,2005,#121,-,,121
Lee Yoonchan,이윤찬,-,Korean,2005,#122,-,,122
Shin Jaeha,신재하,-,Korean,-,#123,-,,123
-,-,-,-,-,#124,-,,124
Kim Hyunbin,김현빈,-,Korean,-,#125,-,,125
Hanlin,-,-,-,-,#126,-,,126
-,-,-,-,-,#127,-,,127
-,-,-,-,-,#128,-,,128
Ke Mingjie,-,-,-,,#129,-,,129
Park Noori,박누리,-,Korean,2008,#130,-,,130
Wang Sik Hei,-,-,-,2009,#131,-,,131
Yang Qisen,-,-,-,-,#132,-,,132
Ham Hyunseo,함현서,-,Korean,-,#133,-,,133
Kylin,-,-,-,-,#134,-,,134
Shou,-,-,-,2005,#135,-,,135
Zhang Shiyi,-,-,Chinese,-,#136,-,,136
Baek Jehyeon,백제현,-,Korean,-,#137,-,,137
Chen Bowen,-,-,Chinese,-,#138,-,,138
Chen Zhaoyu,-,-,Chinese,-,#139,-,,139
Hong Zhihan,-,-,Chinese,-,#140,-,,140
Kang Woojin,강우진,-,Korean,-,#141,-,,141
Kim Minjun,김민준,-,-,2003,#142,-,,142
Kwon Gyuhyeong,권규형,-,-,-,#143,-,,143
-,-,-,-,-,#144,-,,144
Moon Seonbin,문선빈빈,-,-,2005,#145,-,,146
Park Jimin,박지,-,Korean,2003,#146,-,,146
Peng Jiyu,-,-,Chinese,2006,#147,-,,147
Deng Jiajun,-,-,-,-,#148,-,,148
Kisou Tomoya,-,-,Japanese,-,#149,-,,149
Weng Weidong,-,-,Chinese,-,#150,-,,150
Xie Jiahui,-,-,Chinese,-,#151,-,,151
Yumeki Takenaka,-,-,Japanese,1999,#152,-,,152
Zeng Shang Xuan,-,-,-,-,#153,-,,153
Zheng Kun,-,-,-,-,#154,-,,154
